date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et
2026-05-02,825014,682177,Daniel Schneemann,CLE,ATH,A,6,False,0.8333333333333334,4.1,L,L,0,1,1,0,0.6702508960573477,1,0.3181818181818182,2.0,0,4,-203,Daniel Schneemann,draftkings,-146,110,2026-05-02T16:05:46.772902+00:00,0.12932685226101043,True,4:05 PM ET
2026-05-02,823388,663647,Ke'Bryan Hayes,CIN,PIT,A,9,False,0.8333333333333334,3.8,R,R,0,1,1,0,0.6679160419790104,0,0.23809523809523808,1.0,1,12,-201,Ke'Bryan Hayes,draftkings,-145,109,2026-05-02T16:05:46.772902+00:00,0.1285477950679832,True,4:05 PM ET
2026-05-02,823388,668804,Bryan Reynolds,PIT,CIN,H,3,False,1.0,4.35,L,R,1,1,1,0,0.7663551401869159,0,0.2857142857142857,1.0,0,5,-328,Bryan Reynolds,draftkings,-213,159,2026-05-02T16:05:46.772902+00:00,0.12614628581457588,True,4:05 PM ET
2026-05-02,823388,687462,Spencer Horwitz,PIT,CIN,H,7,False,0.9230769230769231,3.95,L,R,1,1,1,0,0.6638297872340425,0,0.16666666666666666,1.0,0,5,-197,Spencer Horwitz,draftkings,-146,110,2026-05-02T16:05:46.772902+00:00,0.11850772369571544,True,4:05 PM ET
2026-05-02,824771,701350,Roman Anthony,BOS,HOU,H,3,True,,4.35,L,R,1,1,1,0,0.7565938206480783,0,0.21739130434782608,1.0,0,3,-311,Roman Anthony,draftkings,-185,139,2026-05-02T16:05:46.772902+00:00,0.1655634534308234,True,4:10 PM ET
2026-05-02,823876,683357,Owen Caissie,MIA,PHI,H,7,False,1.0,3.95,L,R,1,1,1,0,0.6666666666666666,0,0.0625,1.0,0,3,-200,Owen Caissie,draftkings,-134,101,2026-05-02T16:05:46.772902+00:00,0.16417910447761191,True,4:10 PM ET
2026-05-02,823876,656941,Kyle Schwarber,PHI,MIA,A,2,False,1.0,4.5,L,R,1,1,1,0,0.7565938206480783,1,0.3333333333333333,2.0,0,2,-311,Kyle Schwarber,draftkings,-196,147,2026-05-02T16:05:46.772902+00:00,0.1426110760807714,True,4:10 PM ET
2026-05-02,823876,666969,Adolis García,PHI,MIA,A,4,False,1.0,4.3,R,R,0,1,1,0,0.75639046209475,0,0.24,1.0,0,2,-310,Adolis Garcia,draftkings,-204,152,2026-05-02T16:05:46.772902+00:00,0.12717010037649024,True,4:10 PM ET
2026-05-02,822988,808982,Jung Hoo Lee,SF,TB,A,6,False,1.0,4.1,L,R,1,1,1,0,0.9,1,0.391304347826087,2.0,0,2,-900,Jung Hoo Lee,draftkings,-209,155,2026-05-02T16:05:46.772902+00:00,0.33062200956937804,True,6:10 PM ET
2026-05-02,822988,646240,Rafael Devers,SF,TB,A,4,False,1.0,4.3,L,R,1,1,1,0,0.8075040783034257,0,0.15,1.0,0,2,-419,Rafael Devers,draftkings,-172,129,2026-05-02T16:05:46.772902+00:00,0.2769831935961152,True,6:10 PM ET
2026-05-02,822988,642715,Willy Adames,SF,TB,A,1,False,0.9166666666666666,4.6,R,R,0,1,1,0,0.7663551401869159,0,0.08333333333333333,1.0,0,2,-328,Willy Adames,draftkings,-153,115,2026-05-02T16:05:46.772902+00:00,0.26724085272738374,True,6:10 PM ET
2026-05-02,822988,666018,Jonathan Aranda,TB,SF,H,3,False,1.0,4.35,L,R,1,1,1,0,0.7565938206480783,0,0.14285714285714285,1.0,0,3,-311,Jonathan Aranda,draftkings,-159,120,2026-05-02T16:05:46.772902+00:00,0.23243899086699554,True,6:10 PM ET
2026-05-02,822988,656305,Matt Chapman,SF,TB,A,3,False,1.0,4.4,R,R,0,1,1,0,0.7565938206480783,0,0.15,1.0,0,2,-311,Matt Chapman,draftkings,-172,129,2026-05-02T16:05:46.772902+00:00,0.19647394893184483,True,6:10 PM ET
2026-05-02,822988,669477,Casey Schmitt,SF,TB,A,5,False,0.9166666666666666,4.2,R,R,0,1,1,0,0.7565938206480783,1,0.38095238095238093,2.0,0,2,-311,Casey Schmitt,draftkings,-192,143,2026-05-02T16:05:46.772902+00:00,0.15065310223561917,True,6:10 PM ET
2026-05-02,822988,670764,Taylor Walls,TB,SF,H,9,False,0.9166666666666666,3.75,L,R,1,1,1,0,0.5793991416309013,0,0.21428571428571427,1.0,0,3,-138,Taylor Walls,draftkings,-108,-123,2026-05-02T16:05:46.772902+00:00,0.11587982832618038,True,6:10 PM ET
2026-05-02,823067,571970,Max Muncy,LAD,STL,A,6,False,0.9166666666666666,4.1,L,R,1,1,1,0,0.8418079096045198,1,0.3333333333333333,2.0,0,9,-532,Max Muncy,draftkings,-204,152,2026-05-02T16:05:46.772902+00:00,0.25445884568516675,True,7:15 PM ET
2026-05-02,824284,669701,Josh Smith,TEX,DET,A,8,False,0.8333333333333334,3.9,L,R,1,1,1,0,0.6679160419790104,0,0.1875,1.0,0,5,-201,Josh Smith,draftkings,-123,-108,2026-05-02T16:05:46.772902+00:00,0.21093721431966928,True,7:15 PM ET
2026-05-02,823067,808975,Hyeseong Kim,LAD,STL,A,8,False,0.9166666666666666,3.9,L,R,1,1,1,0,0.7565938206480783,1,0.3333333333333333,2.0,0,9,-311,Hyeseong Kim,draftkings,-170,127,2026-05-02T16:05:46.772902+00:00,0.201649009264595,True,7:15 PM ET
2026-05-02,823067,671056,Iván Herrera,STL,LAD,H,2,False,1.0,4.45,R,R,0,0,1,0,0.8075040783034257,1,0.3333333333333333,2.0,0,2,-419,Ivan Herrera,draftkings,-218,162,2026-05-02T16:05:46.772902+00:00,0.177918793121511,True,7:15 PM ET
2026-05-02,824284,690993,Colt Keith,DET,TEX,H,3,False,0.8461538461538461,4.35,L,R,1,1,1,0,0.7565938206480783,1,0.3684210526315789,2.0,0,2,-311,Colt Keith,draftkings,-189,141,2026-05-02T16:05:46.772902+00:00,0.15690801146716737,True,7:15 PM ET
2026-05-02,823067,663656,Kyle Tucker,LAD,STL,A,4,False,0.9166666666666666,4.3,L,R,1,1,1,0,0.8075040783034257,0,0.19047619047619047,1.0,0,9,-419,Kyle Tucker,draftkings,-233,173,2026-05-02T16:05:46.772902+00:00,0.15407235225339388,True,7:15 PM ET
