date,game_pk,player_id,player_name_x,team,opponent,home_away,lineup_spot,lineup_confirmed,start_rate,exp_pa,batter_hand,pitcher_hand,platoon_advantage,platoon_or_away,pitcher_features_known,pitcher_low_sample,p_model,hot_streak,hot_streak_avg,recommended_units,opp_grind,opp_consec_games,fair_american,player_name_y,book,over_price,under_price,fetched_at,edge,filter_e_pass,first_pitch_et,outcome,hits_actual,pnl,pnl_weighted
2026-05-02,824685,571448,Nolan Arenado,AZ,CHC,A,6,True,,4.1,R,L,1,1,1,0,0.8075040783034257,1,0.3333333333333333,2.0,0,2,-419,Nolan Arenado,draftkings,-136,103,2026-05-02T18:08:07.927482+00:00,0.4012570770559447,True,2:20 PM ET,hit,1,0.7352941176470589,1.4705882352941178
2026-05-02,824685,682998,Corbin Carroll,AZ,CHC,A,3,True,,4.4,L,L,0,1,1,0,0.7565938206480783,0,0.2272727272727272,1.0,0,2,-311,Corbin Carroll,draftkings,-150,113,2026-05-02T18:08:07.927482+00:00,0.2609897010801305,True,2:20 PM ET,hit,1,0.6666666666666666,0.6666666666666666
2026-05-02,824685,672695,Geraldo Perdomo,AZ,CHC,A,2,True,,4.5,L,L,0,1,1,0,0.7475728155339806,0,0.2857142857142857,1.0,0,2,-296,Geraldo Perdomo,draftkings,-149,112,2026-05-02T18:08:07.927482+00:00,0.2492995373688669,True,2:20 PM ET,hit,1,0.6711409395973155,0.6711409395973155
2026-05-02,824685,664023,Ian Happ,CHC,AZ,H,4,True,,4.25,L,R,1,1,1,0,0.7565938206480783,0,0.15,1.0,0,5,-311,Ian Happ,draftkings,-154,115,2026-05-02T18:08:07.927482+00:00,0.2478885093805967,True,2:20 PM ET,hit,3,0.6493506493506493,0.6493506493506493
2026-05-02,824685,666971,Lourdes Gurriel Jr.,AZ,CHC,A,5,True,,4.2,R,L,1,1,1,0,0.7560975609756098,0,0.24,1.0,0,2,-310,Lourdes Gurriel Jr.,draftkings,-160,120,2026-05-02T18:08:07.927482+00:00,0.2286585365853658,True,2:20 PM ET,hit,1,0.625,0.625
2026-05-02,824685,543510,James McCann,AZ,CHC,A,8,True,,3.9,R,L,1,1,1,0,0.6679160419790104,0,0.1304347826086956,1.0,0,2,-201,James McCann,draftkings,-120,-111,2026-05-02T18:08:07.927482+00:00,0.2245127436281858,True,2:20 PM ET,miss,0,-1.0,-1.0
2026-05-02,824685,606466,Ketel Marte,AZ,CHC,A,1,True,,4.6,L,L,0,1,1,0,0.8075040783034257,0,0.1904761904761904,1.0,0,2,-419,Ketel Marte,draftkings,-206,154,2026-05-02T18:08:07.927482+00:00,0.1994963493245062,True,2:20 PM ET,miss,0,-1.0,-1.0
2026-05-02,824685,545121,Ildemaro Vargas,AZ,CHC,A,4,True,,4.3,L,L,0,1,1,0,0.8075040783034257,1,0.5416666666666666,2.0,0,2,-419,Ildemaro Vargas,draftkings,-210,156,2026-05-02T18:08:07.927482+00:00,0.1920298298764856,True,2:20 PM ET,miss,0,-1.0,-2.0
2026-05-02,824685,699912,Jose Fernandez,AZ,CHC,A,7,True,,4.0,R,L,1,1,1,0,0.6875,1,0.35,2.0,0,2,-220,Jose Fernandez,draftkings,-139,105,2026-05-02T18:08:07.927482+00:00,0.1821043165467625,True,2:20 PM ET,miss,0,-1.0,-2.0
2026-05-02,824685,608324,Alex Bregman,CHC,AZ,H,3,True,,4.35,R,R,0,0,1,0,0.7565938206480783,0,0.1818181818181818,1.0,0,5,-311,Alex Bregman,draftkings,-191,142,2026-05-02T18:08:07.927482+00:00,0.1527162398355539,True,2:20 PM ET,miss,0,-1.0,-1.0
